EVAN Toolbox
Principal Component Analysis (PCA)

Date:	Thu Aug 6 2020
Time:	19:17:40

	Eigenvalues	Variance (%)	Cumulative Variance (%)
PC 1	0.00172313	30.5013	30.5013
PC 2	0.000872268	15.4401	45.9415
PC 3	0.000608193	10.7657	56.7072
PC 4	0.000409184	7.24302	63.9502
PC 5	0.000298427	5.2825	69.2327
PC 6	0.000225202	3.98633	73.219
PC 7	0.000197421	3.49459	76.7136
PC 8	0.000162525	2.87688	79.5905
PC 9	0.000147498	2.61088	82.2014
PC 10	0.000135529	2.39903	84.6004
PC 11	0.000106001	1.87634	86.4767
PC 12	9.61506e-005	1.70198	88.1787
PC 13	8.64087e-005	1.52953	89.7083
PC 14	7.47137e-005	1.32252	91.0308
PC 15	6.74017e-005	1.19309	92.2239
PC 16	6.18931e-005	1.09558	93.3194
PC 17	5.73627e-005	1.01539	94.3348
PC 18	5.11592e-005	0.905576	95.2404
PC 19	4.52138e-005	0.800337	96.0407
PC 20	3.87843e-005	0.686527	96.7273
PC 21	3.27071e-005	0.578953	97.3062
PC 22	3.02786e-005	0.535966	97.8422
PC 23	2.83969e-005	0.502658	98.3448
PC 24	2.36186e-005	0.418077	98.7629
PC 25	2.27182e-005	0.402138	99.1651
PC 26	1.90352e-005	0.336944	99.502
PC 27	1.59603e-005	0.282515	99.7845
PC 28	1.21736e-005	0.215486	100
PC 29	2.45743e-033	4.34994e-029	100

PC Scores
	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29
PT_AS_1595_M	-0.0217796	0.0208841	-0.0239616	0.00250125	-0.0103531	-0.00702836	0.0170232	0.00252056	0.00432822	0.0221046	0.0192161	-0.00314241	0.00253872	0.0132147	-0.0104922	-0.00532	-0.00395146	0.00181238	0.0111034	0.00994013	-0.001542	-0.00277333	0.000359847	-0.00430327	0.00206035	-0.00490761	0.00656769	0.00249815	4.76726e-017
PT_0256973_M_SAC_LO	-0.0141435	-0.0180399	-0.0541165	-0.000677862	-0.000916068	0.00755856	-0.000826767	-0.0173245	-0.0118919	-0.026227	0.013366	-0.00233486	-0.00147651	-0.012191	0.00356232	0.00687573	-0.0127107	-0.00129663	-0.00678478	0.00635764	0.00269286	-0.00244676	-0.0042537	-0.00360295	-0.00377403	-0.000409509	0.00270651	0.00393034	4.94384e-017
PT_0236971_F_SAC_LO	0.0508742	-0.00211564	0.0150103	0.0393492	0.0128774	-0.0183418	-0.0100979	-0.0203385	-0.0191752	-0.00661739	-0.0103746	0.00398403	-0.00179751	0.00385193	-0.0126409	-0.00505464	-0.00690742	-0.000336461	0.00902535	-0.00519625	0.00983287	0.00423147	0.00422628	0.0030499	0.00157176	0.0011565	0.00372604	0.0018943	4.8207e-017
PT_0220062_F	0.00955247	-0.0291221	0.0293111	-0.0091473	-0.0125748	0.0101979	0.0111818	0.012738	-0.00389898	-0.0142472	0.00356333	-0.0114347	0.0148198	0.015714	0.00429506	-0.00584887	-0.00401454	-0.00408978	0.00554644	0.000613381	0.00365567	0.0112476	-0.00301275	-0.00284962	-0.00769572	0.000233841	-0.00613421	0.00246618	4.83146e-017
PT_0008620_M_SAC_LO	-0.0459466	0.0206502	-0.00222257	0.017729	-0.0263083	0.00844261	0.00872471	-0.0109887	-0.00421337	0.00530881	-0.00414198	-0.0148089	0.00129672	-0.00220747	-0.00662248	-0.00656479	-0.00311556	-0.00337329	-0.00665614	-0.012812	-0.00196199	0.000872719	-0.00651649	-0.00786257	0.00172343	0.00433955	0.0021545	-0.00803761	4.8108e-017
PT_0006876_M	-0.0232475	0.013777	0.0125411	0.0100432	-0.00619579	-0.0220549	0.0218393	-0.00567591	-0.0237429	0.00174413	-0.00151145	-0.000508837	-0.00215478	-0.0011459	0.0153957	-0.00670838	0.0103922	0.00791827	-0.00195652	0.00891844	0.00615733	-0.00820932	0.00138564	-0.00254329	0.00335235	0.00374094	-0.00657373	-0.000225137	4.7899e-017
PT_0005920_M_SAC_LO	-0.0388106	-0.025744	0.000492801	0.0262144	0.00880141	-0.0197841	-0.0171458	-0.000642452	0.00788947	0.00268771	-0.000710155	-0.00058586	-0.00975834	0.00839583	0.0120052	-0.00517863	0.0116512	-0.0144889	-0.00510863	-0.00599965	-0.00669086	-0.00126267	-0.000913924	-0.00489454	-0.00314873	-0.00140499	0.00297244	0.00661696	4.97284e-017
PT_0004002_F	-0.0223041	0.0123563	0.01986	-0.00139237	-0.00470433	0.0214728	0.0213816	-0.0131066	-0.00790009	0.00141295	0.000177502	-0.00438692	0.00462978	-0.01111	0.0058855	-0.00236855	0.00064836	-0.00188378	0.00216942	-0.003892	-0.0119112	0.00559677	0.00226261	0.0104773	0.00812776	-0.00107934	0.00133165	0.00646033	4.78229e-017
PT_0004001_F	0.10327	-0.0118234	0.00832827	0.0212365	0.0112833	0.0337635	0.00453586	-0.0114151	0.00482585	0.0104841	0.0111253	-0.0056531	-0.020323	0.0107754	0.00373216	0.00490155	0.00351415	0.00800276	-0.00248612	0.000707687	-0.00226472	-0.00203491	-0.00252585	0.00136693	-0.00353768	0.00381215	-0.00102859	-0.000997924	5.0804e-017
PT_0003105_M	-0.00679697	-0.026535	-0.000859484	-0.0101026	-0.00850061	-0.0209762	0.0262835	0.00106141	0.022278	-0.020336	-0.00482501	0.00102284	-0.00803087	-0.00210911	-0.0155495	-0.00400587	0.0016655	0.0106477	0.000812154	-0.00691411	-0.00575818	-0.00712559	0.00292074	0.00281502	-0.00586991	0.00142443	-0.00194761	0.00174237	4.92149e-017
